"Nazwa";"Typ";"Latitude";"Longitude"
"Szkoła Podstawowa nr 33 im. Stefana Banacha w Gdańsku";"school";"54.4209492";"18.4790736"
"Akademickie Liceum Ogólnokształcące ""Lingwista""";"school";"54.3607062";"18.6448988"
"XXIV Liceum Ogólnokształcące im. Stefana Banacha";"school";"54.4208604";"18.4791667"
"Szkoła Podstawowa nr 5 im. Jana Pawła II";"school";"54.4023481";"18.6045206"
"XIV Liceum Ogólnokształcące im. Jana Pawła II";"school";"54.4020343";"18.6042732"
"Szkoła Podstawowa Nr 87";"school";"54.3449666";"18.8296102"
"Szkoła języków europejskich Universus";"school";"54.4221276";"18.4782263"
"Szkoła Muzyczna 1 stopnia imienia Grażyny Bacewicz";"school";"54.37909";"18.6060501"
"Morska  Szkoła Podstawowa im.Aleksandra Doby w Gdańsku";"school";"54.3324116";"18.5971177"
"Szkoła Podstawowa nr 37";"school";"54.4921665";"18.4213202"
"Chrześcijańska Szkoła Montessori nr 2";"school";"54.3256758";"18.6006044"
"Szkoła Podstawowa nr 42";"school";"54.4723417";"18.4970667"
"I Gdańskie Liceum Katolickie im. św. Wojciecha";"school";"54.3565722";"18.5913228"
"Katolicka Szkoła Podstawowa im. Św. Wojciecha";"school";"54.3565313";"18.5915156"
"Szkoła Podstawowa Mistrzostwa Sportowego nr 94";"school";"54.3525221";"18.6738275"
"VI Liceum Ogólnokształcące im. Obrońców Helu";"school";"54.3522575";"18.6738679"
"Państwowe Liceum Sztuk Plastycznych im. Magdaleny Abakanowicz";"school";"54.479672";"18.5568982"
"Szkoła Podstawowa nr 42 w Gdańsku";"school";"54.3535085";"18.6028627"
"Szkoła Podstawowa nr 3";"school";"54.3403776";"18.6222678"
"Technikum nr 1 w Gdańsku";"school";"54.360813";"18.6104576"
"Szkoła Branżowa I Stopnia nr 1 w Gdańsku";"school";"54.3607517";"18.6104909"
"Szkoła Podstawowa nr 70 z Oddziałami Sportowymi";"school";"54.3879163";"18.5743712"
"9 Miesięcy";"school";"54.3919074";"18.6004232"
"Mental Arts";"school";"54.3686898";"18.6382413"
