Nazwa;Typ;Latitude;Longitude;miasto;dzielnica
Szkoła Podstawowa nr 33 im. Stefana Banacha w Gdańsku;school;54.4209492;18.4790736;Gdańsk;Osowa
"Akademickie Liceum Ogólnokształcące ""Lingwista""";school;54.3607062;18.6448988;Gdańsk;Śródmieście
XXIV Liceum Ogólnokształcące im. Stefana Banacha;school;54.4208604;18.4791667;Gdańsk;Osowa
Szkoła Podstawowa nr 5 im. Jana Pawła II;school;54.4023481;18.6045206;Gdańsk;Zaspa-Rozstaje
XIV Liceum Ogólnokształcące im. Jana Pawła II;school;54.4020343;18.6042732;Gdańsk;Zaspa-Rozstaje
Szkoła Podstawowa Nr 87;school;54.3449666;18.8296102;Gdańsk;Wyspa Sobieszewska
Szkoła języków europejskich Universus;school;54.4221276;18.4782263;Gdańsk;Osowa
Szkoła Muzyczna 1 stopnia imienia Grażyny Bacewicz;school;54.37909;18.6060501;Gdańsk;Wrzeszcz Górny
Morska  Szkoła Podstawowa im.Aleksandra Doby w Gdańsku;school;54.3324116;18.5971177;Gdańsk;Chełm
Szkoła Podstawowa nr 37;school;54.4921665;18.4213202;Gdynia;Chwarzno-Wiczlino
Chrześcijańska Szkoła Montessori nr 2;school;54.3256758;18.6006044;Gdańsk;Ujeścisko - Łostowice
Szkoła Podstawowa nr 42;school;54.4723417;18.4970667;Gdynia;Karwiny
I Gdańskie Liceum Katolickie im. św. Wojciecha;school;54.3565722;18.5913228;Gdańsk;Piecki-Migowo
Katolicka Szkoła Podstawowa im. Św. Wojciecha;school;54.3565313;18.5915156;Gdańsk;Piecki-Migowo
Szkoła Podstawowa Mistrzostwa Sportowego nr 94;school;54.3525221;18.6738275;Gdańsk;Śródmieście
VI Liceum Ogólnokształcące im. Obrońców Helu;school;54.3522575;18.6738679;Gdańsk;Śródmieście
Państwowe Liceum Sztuk Plastycznych im. Magdaleny Abakanowicz;school;54.479672;18.5568982;Gdynia;Orłowo
Szkoła Podstawowa nr 42 w Gdańsku;school;54.3535085;18.6028627;Gdańsk;Suchanino
Szkoła Podstawowa nr 3;school;54.3403776;18.6222678;Gdańsk;Chełm
Technikum nr 1 w Gdańsku;school;54.360813;18.6104576;Gdańsk;Wrzeszcz Górny
Szkoła Branżowa I Stopnia nr 1 w Gdańsku;school;54.3607517;18.6104909;Gdańsk;Wrzeszcz Górny
Szkoła Podstawowa nr 70 z Oddziałami Sportowymi;school;54.3879163;18.5743712;Gdańsk;VII Dwór
9 Miesięcy;school;54.3919074;18.6004232;Gdańsk;Zaspa-Młyniec
Mental Arts;school;54.3686898;18.6382413;Gdańsk;Młyniska
"Przedszkole Niepubliczne ""Sokrates""";school;54.3503047;18.6253598;Gdańsk;Siedlce
"Niepubliczna Szkoła Podstawowa ""Sokrates""";school;54.3503372;18.6256426;Gdańsk;Siedlce
Szkoła Orka Surf;school;54.4354392;18.5832938;Sopot;
Szkoła Podstawowa nr 18;school;54.4052405;18.6447963;Gdańsk;Brzeźno
XXIII Liceum Ogólnokształcące;school;54.4049877;18.6445661;Gdańsk;Brzeźno
XII Sportowe Liceum Ogólnokształcące z Oddziałami Mistrzostwa Sportowego im. Janusza Kusocińskiego;school;54.4197647;18.5732553;Gdańsk;Żabianka-Wejhera-Jelitkowo-Tysiąclecia
Sportowa Szkoła Podstawowa nr 75 z Oddziałami Mistrzostwa Sportowego im. Janusza Kusocińskiego;school;54.4195351;18.5732251;Gdańsk;Żabianka-Wejhera-Jelitkowo-Tysiąclecia
VII Liceum Ogólnokształcące im. Józefa Wybickiego;school;54.3398368;18.6222562;Gdańsk;Chełm
Ogólnokształcąca Szkoła Baletowa im. Janiny Jarzynówny-Sobczak;school;54.3841204;18.6146271;Gdańsk;Wrzeszcz Dolny
Zespół Niepublicznych Placówek Oświatowych PSONI Koło w Gdańsku;school;54.4138899;18.5953061;Gdańsk;Przymorze Wielkie
Technikum Ekonomiczne z Oddziałami Dwujęzycznymi im. rotmistrza Witolda Pileckiego;school;54.4824079;18.5494315;Gdynia;Orłowo
Szkoła Podstawowa nr 92;school;54.395084;18.5957712;Gdańsk;Zaspa-Młyniec
Szkoła podstawowa ADE;school;54.2527636;18.6484009;Pruszcz Gdański;Komarowo
Szkoła Podstawowa nr 37;school;54.4882673;18.4289458;Gdynia;Chwarzno-Wiczlino
XVII Liceum Ogólnokształcące;school;54.4885961;18.4282672;Gdynia;Chwarzno-Wiczlino
Zespołu Szkół Specjalnych nr 6;school;54.4466823;18.5401494;Sopot;
Szkoła Podstawowa nr 49 dla Dzieci Niedosłyszących;school;54.4985567;18.5446161;Gdynia;Wzgórze Świętego Maksymiliana
Szkoła Podstawowa Nr 53;school;54.4986766;18.5445142;Gdynia;Wzgórze Świętego Maksymiliana
Szkoła Podstawowa nr 47;school;54.4713921;18.46129;Gdynia;Dąbrowa
Szkoła Podstawowa nr 46;school;54.4722073;18.48822;Gdynia;Karwiny
Szkoła Podstawowa nr 45;school;54.4727964;18.4685245;Gdynia;Dąbrowa
Technikum Handlowe;school;54.4823651;18.5492295;Gdynia;Orłowo
XV Liceum Ogólnokształcące dla Niedosłyszących im. Zjednoczonej Europy;school;54.4984508;18.5446966;Gdynia;Wzgórze Świętego Maksymiliana
Szkoła Podstawowa Montessori w Kowalach;school;54.3122088;18.5611466;Kowale;
Brak nazwy;kindergarten;54.4342366;18.5571803;Sopot;
Żłobek Puchatek;kindergarten;54.436948;18.5584275;Sopot;
Brak nazwy;kindergarten;54.3425302;18.5655726;Gdańsk;Jasień
Bajeczne Przedszkola;kindergarten;54.3427741;18.5506999;Gdańsk;Jasień
Przedszkole Niepubliczne CHATKA PUCHATKA;kindergarten;54.4742105;18.4889332;Gdynia;Karwiny
Chatka Przedszkolaka;kindergarten;54.4717516;18.4712589;Gdynia;Dąbrowa
Przedszkole pw. Świętej Rodziny;kindergarten;54.4770053;18.5401623;Gdynia;Orłowo
Wiszący Ogródek;kindergarten;54.3518258;18.5331573;Gdańsk;Jasień
Brak nazwy;kindergarten;54.3501497;18.5628412;Gdańsk;Piecki-Migowo
Słoneczny Ogród;kindergarten;54.3504225;18.5308403;Gdańsk;Jasień
Żłobek niepubliczny;kindergarten;54.4343091;18.5707067;Sopot;
Przedszkole Niepubliczne Bajkoland;kindergarten;54.3517583;18.5732062;Gdańsk;Piecki-Migowo
Morskie Przedszkole Niepubliczne;kindergarten;54.3326083;18.5972842;Gdańsk;Chełm
Brak nazwy;kindergarten;54.4965286;18.5431318;Gdynia;Redłowo
Przedszkole nr 50;kindergarten;54.473049;18.4684559;Gdynia;Dąbrowa
Przedszkole Stonoga;kindergarten;54.4729836;18.4888724;Gdynia;Karwiny
Tęczowa Przygoda;kindergarten;54.3946645;18.4023836;Banino;
Przedszkole nr 53;kindergarten;54.4922414;18.421294;Gdynia;Chwarzno-Wiczlino
Kotek Mamrotek;kindergarten;54.3313254;18.5574191;Gdańsk;Jasień
Iskierka;kindergarten;54.3664617;18.6301927;Gdańsk;Aniołki
Bajkowy Domek;kindergarten;54.3188757;18.5847376;Gdańsk;Ujeścisko - Łostowice
Przedszkole;kindergarten;54.3962371;18.5902802;Gdańsk;Zaspa-Młyniec
Przedszkole nr 54;kindergarten;54.4719921;18.4970531;Gdynia;Karwiny
Biały Kotek;kindergarten;54.4029158;18.570165;Gdańsk;Oliwa
Niezapominajka;kindergarten;54.3961417;18.4088279;Banino;
Chrześcijańskie Przedszkole Montessori nr 2;kindergarten;54.3257583;18.6007855;Gdańsk;Ujeścisko - Łostowice
Przedszkole Tygryskowa Kraina;kindergarten;54.3488274;18.5586746;Gdańsk;Piecki-Migowo
Brak nazwy;kindergarten;54.302214;18.5878042;Borkowo;
"Przedszkole niepubliczne ""Little Harvard""";kindergarten;54.4048997;18.575979;Gdańsk;Przymorze Małe
Przedszkolandia;kindergarten;54.391269;18.4062521;Banino;
Przedszkole Niepubliczne Językowo – Muzyczne Calineczka;kindergarten;54.3768597;18.605303;Gdańsk;Wrzeszcz Górny
MegaMocni;kindergarten;54.3971132;18.5950255;Gdańsk;Zaspa-Młyniec
"Przedszkole nr 4 ""Nad Potokiem""";kindergarten;54.4559738;18.5497015;Sopot;
Przedszkole Niepubliczne Akademia Małych Odkrywców;kindergarten;54.4991572;18.5421717;Gdynia;Wzgórze Świętego Maksymiliana
Przedszkole Montesori;kindergarten;54.455373;18.5521598;Sopot;
MegaMocni;kindergarten;54.355572;18.6148147;Gdańsk;Suchanino
Żyrafa;kindergarten;54.3836911;18.5912426;Gdańsk;Wrzeszcz Górny
Przedszkole ne 61;kindergarten;54.3451267;18.8298842;Gdańsk;Wyspa Sobieszewska
Niepubliczne Przedszkole Lew Leon;kindergarten;54.3760001;18.620545;Gdańsk;Wrzeszcz Górny
Przedszkole Specjalne Nr 72 o Profilu Terapeutycznym;kindergarten;54.4116454;18.5933336;Gdańsk;Przymorze Wielkie
Publiczne Pozytywne Przedszkole nr 7;kindergarten;54.3338377;18.5423695;Gdańsk;Jasień
Przedszkole nr 73 w Gdańsku;kindergarten;54.3534451;18.6028627;Gdańsk;Suchanino
Mali Zwyciezcy;kindergarten;54.3578366;18.5883182;Gdańsk;Piecki-Migowo
Wesoła kraina;kindergarten;54.3930634;18.6098754;Gdańsk;Zaspa-Rozstaje
